date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:47	26265/26265	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-6699%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/bootstrap-switch.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/bootstrap-switch.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:47	88614/88614	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-15a26%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/sweetalert2.min.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/sweetalert2.min.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:48	111022/111022	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-1b1ae%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/jquery.tablesorter.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/jquery.tablesorter.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:48	24377/24377	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-5f39%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/jquery.validate.min.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/jquery.validate.min.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:48	12040/12040	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-2f08%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/jquery.bootstrap-wizard.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/jquery.bootstrap-wizard.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:48	108457/108457	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-1a7a9%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/bootstrap-selectpicker.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/bootstrap-selectpicker.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:49	110464/110464	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-1af80%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/bootstrap-datetimepicker.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/bootstrap-datetimepicker.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:49	225064/225064	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-36f28%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/jquery.dataTables.min.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/jquery.dataTables.min.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:51	21693/21693	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-54bd%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/bootstrap-tagsinput.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/bootstrap-tagsinput.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:52	16781/16781	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-418d%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/jasny-bootstrap.min.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/jasny-bootstrap.min.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:55	126429/126429	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-1eddd%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/fullcalendar/fullcalendar.min.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/fullcalendar/fullcalendar.min.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:56	27128/27128	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-69f8%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/fullcalendar/daygrid.min.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/fullcalendar/daygrid.min.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:57	23937/23937	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e381185-5d81%22	https://demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/fullcalendar/timegrid.min.js	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/assets/js/plugins/fullcalendar/timegrid.min.js	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
